dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.25,3
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.3,4
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.35,5
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.4,6
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.45,8
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.5,10
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.55,12
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.6,19
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.65,90
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.7,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.75,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.8,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.85,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.9,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.95,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.05,1
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.1,1
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.15,2
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.2,2
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.25,3
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.3,4
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.35,5
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.4,6
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.45,7
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.5,10
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.55,13
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.6,20
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.65,78
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.7,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.75,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.8,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.85,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.9,nan
cifar100,shufflenetv2,128,adadelta,1e-1,5,0.95,nan
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.05,1
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.1,1
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.15,1
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.2,2
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.25,2
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.3,3
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.35,3
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.4,4
cifar100,shufflenetv2,16,adadelta,1e-1,1,0.45,6
