dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
librispeech,deepspeech2,128,adamw,175,6150.910000000001,134.60062633035884
librispeech,deepspeech2,128,adamw,200,5940.38,144.5682568348326
librispeech,deepspeech2,128,adamw,225,5874.56,155.12275429464827
librispeech,deepspeech2,128,adamw,250,5710.5199999999995,167.22377722533852
librispeech,deepspeech2,156,adamw,100,8444.2,98.35560329528201
librispeech,deepspeech2,156,adamw,125,7189.0599999999995,115.2423285513344
librispeech,deepspeech2,156,adamw,150,6688.84,124.79850926603396
librispeech,deepspeech2,156,adamw,175,6325.94,135.82761579752204
librispeech,deepspeech2,156,adamw,200,6194.04,146.36627199507757
librispeech,deepspeech2,156,adamw,225,6013.19,154.31779817831438
librispeech,deepspeech2,156,adamw,250,5982.290000000001,162.36485518696136
librispeech,deepspeech2,16,adamw,100,10119.89,96.75594065133146
librispeech,deepspeech2,16,adamw,125,9309.0,114.7757539789948
librispeech,deepspeech2,16,adamw,150,8834.460000000001,130.03298024667345
librispeech,deepspeech2,16,adamw,175,8524.98,150.6076285045627
librispeech,deepspeech2,16,adamw,200,8437.62,162.5824413720878
librispeech,deepspeech2,16,adamw,225,8256.71,174.05283536381873
librispeech,deepspeech2,16,adamw,250,8345.57,170.00821467489007
librispeech,deepspeech2,192,adamw,100,8477.9,98.11565434776429
librispeech,deepspeech2,192,adamw,125,7361.96,114.99055441075929
librispeech,deepspeech2,192,adamw,150,6845.5599999999995,125.7405071163925
librispeech,deepspeech2,192,adamw,175,6533.7300000000005,134.76984402712813
librispeech,deepspeech2,192,adamw,200,6353.21,143.93487555660136
librispeech,deepspeech2,192,adamw,225,6199.13,153.21779155357711
librispeech,deepspeech2,192,adamw,250,6181.63,160.55840881076978
librispeech,deepspeech2,2,adamw,100,48815.16,93.9328341946826
librispeech,deepspeech2,2,adamw,125,45281.23,115.25168226152526
librispeech,deepspeech2,2,adamw,150,43435.509999999995,134.6946813390923
librispeech,deepspeech2,2,adamw,175,42772.61,146.8337683351612
librispeech,deepspeech2,2,adamw,200,42613.2,156.17100662689222
librispeech,deepspeech2,2,adamw,225,43408.96,148.60682754614578
